date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
09/04/2000,3.6604,100.5497,11.2554,6.9993,7.0229,11.043,6.9188
10/04/2000,3.6588,100.5529,11.2434,6.9237,6.9474,11.0221,6.8816
11/04/2000,3.6604,100.5551,11.2379,6.9085,6.9322,11.0133,6.8726
12/04/2000,3.6441,100.5607,11.2331,6.8995,6.9232,11.0102,6.8655
13/04/2000,3.564,100.5619,11.2843,6.9872,7.0108,11.0625,6.9069
14/04/2000,3.6156,100.5535,11.3783,7.1385,7.1612,11.1698,6.9641
15/04/2000,3.6163,100.5426,11.4974,7.2785,7.3008,11.3012,7.0226
16/04/2000,3.6168,100.532,11.6265,7.4205,7.4425,11.431,7.0883
17/04/2000,3.6084,100.5244,11.7188,7.4977,7.5196,11.5225,7.1263
18/04/2000,3.4465,100.5266,11.7097,7.4475,7.4694,11.5153,7.0938
19/04/2000,3.2342,100.53,11.755,7.4646,7.4864,11.5607,7.1002
20/04/2000,3.2361,100.525,11.8394,7.5422,7.564,11.6549,7.1455
21/04/2000,3.2364,100.5172,11.8632,7.5294,7.5512,11.6808,7.1403
22/04/2000,3.223,100.5051,11.8709,7.5129,7.5346,11.6823,7.1284
23/04/2000,3.2454,100.4778,12.0032,7.6517,7.6725,11.8078,7.1787
24/04/2000,3.2833,100.4467,12.144,7.807,7.8273,11.9489,7.2474
25/04/2000,3.2783,100.4289,12.2024,7.834,7.8544,12.009,7.2588
26/04/2000,3.2547,100.421,12.2104,7.7951,7.8155,12.0223,7.2387
27/04/2000,3.262,100.417,12.2279,7.7595,7.7799,12.039,7.2196
28/04/2000,3.2439,100.4152,12.2911,7.8065,7.8268,12.1008,7.2404
29/04/2000,3.2416,100.4165,12.3921,7.9163,7.9356,12.2022,7.2788
30/04/2000,3.2416,100.4146,12.5836,8.0925,8.1093,12.3873,7.3343
01/05/2000,3.1519,100.4163,12.738,8.1987,8.2152,12.5417,7.3768
02/05/2000,3.02,100.4204,12.8605,8.2759,8.2924,12.66,7.4228
03/05/2000,3.0123,100.4225,13.0706,8.4527,8.4688,12.8682,7.5024
04/05/2000,3.0136,100.4262,13.3049,8.6901,8.7041,13.0999,7.5942
05/05/2000,3.0184,100.4247,13.5564,8.9565,8.9675,13.3506,7.6969
06/05/2000,3.016,100.4183,13.7907,9.1664,9.1762,13.5846,7.7796
07/05/2000,2.8602,100.4095,14.0227,9.3344,9.3441,13.8176,7.8575
08/05/2000,2.7763,100.4014,14.2255,9.452,9.4616,14.0227,7.9143
09/05/2000,2.768,100.3904,14.4369,9.5962,9.6057,14.2374,7.9816
10/05/2000,2.7703,100.3799,14.6784,9.8209,9.8299,14.4817,8.0877
11/05/2000,2.7704,100.369,14.9149,10.0204,10.0291,14.7232,8.186
12/05/2000,2.7705,100.3547,15.1561,10.2341,10.2422,14.9756,8.2867
13/05/2000,2.772,100.3495,15.3509,10.4292,10.4368,15.1854,8.3859
14/05/2000,2.772,100.3482,15.5024,10.5245,10.5316,15.3405,8.4209
15/05/2000,2.7721,100.3386,15.6885,10.622,10.6288,15.5299,8.4513
16/05/2000,2.7721,100.3272,15.8875,10.765,10.7709,15.7396,8.5022
17/05/2000,2.7722,100.3181,16.0746,10.9032,10.909,15.9439,8.5655
18/05/2000,2.7722,100.3123,16.2375,11.0216,11.0273,16.1151,8.6278
19/05/2000,2.7725,100.3078,16.403,11.1595,11.165,16.291,8.7034
20/05/2000,2.8912,100.3079,16.539,11.2832,11.2886,16.4269,8.7795
21/05/2000,2.9634,100.3072,16.6223,11.3394,11.3448,16.51,8.8213
22/05/2000,2.9601,100.3045,16.7003,11.3609,11.3663,16.5949,8.8364
23/05/2000,2.8638,100.3017,16.7986,11.3645,11.3699,16.6967,8.8392
24/05/2000,2.8475,100.2968,16.9227,11.4344,11.4398,16.825,8.8857
25/05/2000,2.8775,100.2864,17.0953,11.5832,11.5886,16.9986,8.982
26/05/2000,2.9032,100.2776,17.2119,11.6666,11.672,17.1232,9.0467
27/05/2000,2.9558,100.2704,17.3271,11.7459,11.7513,17.2402,9.1067
28/05/2000,2.9647,100.2632,17.3954,11.7748,11.7802,17.3099,9.1336
29/05/2000,2.9451,100.253,17.4986,11.8413,11.8465,17.4165,9.1644
30/05/2000,2.9453,100.2399,17.6707,11.9747,11.9796,17.5907,9.2238
31/05/2000,2.9454,100.2298,17.8361,12.0835,12.0881,17.7621,9.2696
01/06/2000,2.9419,100.2219,18.0023,12.1741,12.1786,17.9244,9.3132
02/06/2000,2.9421,100.2159,18.1482,12.2353,12.2398,18.0642,9.3474
03/06/2000,2.9439,100.2083,18.2766,12.2809,12.2855,18.1902,9.3788
04/06/2000,2.9793,100.201,18.3856,12.3464,12.351,18.3037,9.4272
05/06/2000,3.1127,100.1942,18.4451,12.4109,12.4155,18.3644,9.4771
06/06/2000,2.8685,100.1906,18.5186,12.4396,12.4443,18.4415,9.4933
07/06/2000,2.8685,100.1864,18.6282,12.4991,12.5037,18.555,9.5196
08/06/2000,2.8687,100.1843,18.743,12.5461,12.5507,18.6726,9.5434
09/06/2000,2.8687,100.1851,18.8439,12.5581,12.5626,18.7776,9.5515
10/06/2000,2.8607,100.1863,18.992,12.6457,12.6501,18.9286,9.5989
11/06/2000,2.7761,100.1936,19.1251,12.6819,12.6863,19.0607,9.6156
12/06/2000,2.775,100.1991,19.2964,12.7613,12.7656,19.2315,9.6615
13/06/2000,2.7834,100.1992,19.4571,12.8915,12.8957,19.4077,9.7396
14/06/2000,2.8105,100.1951,19.5705,13.0266,13.0306,19.558,9.821
15/06/2000,2.8549,100.1866,19.6599,13.1373,13.1413,19.6625,9.8984
16/06/2000,2.9674,100.1826,19.7376,13.2386,13.2426,19.7426,9.9764
17/06/2000,2.9673,100.1853,19.7972,13.2866,13.2906,19.8045,10.0166
18/06/2000,2.814,100.1897,19.8737,13.3086,13.3125,19.8848,10.0356
19/06/2000,2.8101,100.1958,19.9951,13.4132,13.4171,20.0065,10.1082
20/06/2000,2.8158,100.1914,20.22,13.6343,13.6375,20.2311,10.2256
21/06/2000,2.8077,100.1835,20.4211,13.8417,13.8444,20.4469,10.34
22/06/2000,2.8312,100.1768,20.5804,14.0072,14.0098,20.6086,10.4442
23/06/2000,2.8166,100.1736,20.7186,14.0475,14.0501,20.747,10.4707
24/06/2000,2.7168,100.1763,20.8452,14.0583,14.0609,20.8784,10.4791
25/06/2000,2.7523,100.1734,20.9831,14.1685,14.171,21.017,10.5558
