date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
11/04/2000,0.0032,-0.001,0.0065,0.0604,0.0603,0.0121,0.0282
12/04/2000,-0.0179,0.0034,0.0007,0.0062,0.0062,0.0057,0.0019
13/04/2000,-0.0638,-0.0044,0.056,0.0967,0.0966,0.0554,0.0485
14/04/2000,0.1317,-0.0096,0.0428,0.0636,0.0628,0.055,0.0158
15/04/2000,-0.0509,-0.0025,0.0251,-0.0113,-0.0108,0.0241,0.0013
16/04/2000,-0.0002,0.0003,0.01,0.002,0.0021,-0.0016,0.0072
17/04/2000,-0.0089,0.003,-0.0368,-0.0648,-0.0646,-0.0383,-0.0277
18/04/2000,-0.1535,0.0098,-0.1014,-0.1274,-0.1273,-0.0987,-0.0705
19/04/2000,-0.0504,0.0012,0.0544,0.0673,0.0672,0.0526,0.0389
20/04/2000,0.2142,-0.0084,0.0391,0.0605,0.0606,0.0488,0.0389
21/04/2000,-0.0016,-0.0028,-0.0606,-0.0904,-0.0904,-0.0683,-0.0505
22/04/2000,-0.0137,-0.0043,-0.0161,-0.0037,-0.0038,-0.0244,-0.0067
23/04/2000,0.0358,-0.0152,0.1246,0.1553,0.1545,0.124,0.0622
24/04/2000,0.0155,-0.0038,0.0085,0.0165,0.0169,0.0156,0.0184
25/04/2000,-0.0429,0.0133,-0.0824,-0.1283,-0.1277,-0.081,-0.0573
26/04/2000,-0.0186,0.0099,-0.0504,-0.0659,-0.066,-0.0468,-0.0315
27/04/2000,0.0309,0.0039,0.0095,0.0033,0.0033,0.0034,0.001
28/04/2000,-0.0254,0.0022,0.0457,0.0826,0.0825,0.0451,0.0399
29/04/2000,0.0158,0.0031,0.0378,0.0628,0.0619,0.0396,0.0176
30/04/2000,0.0023,-0.0032,0.0905,0.0664,0.0649,0.0837,0.0171
01/05/2000,-0.0897,0.0036,-0.0371,-0.07,-0.0678,-0.0307,-0.013
02/05/2000,-0.0422,0.0024,-0.0319,-0.029,-0.0287,-0.0361,0.0035
03/05/2000,0.1242,-0.002,0.0876,0.0996,0.0992,0.0899,0.0336
04/05/2000,0.009,0.0016,0.0242,0.0606,0.0589,0.0235,0.0122
05/05/2000,0.0035,-0.0052,0.0172,0.029,0.0281,0.019,0.0109
06/05/2000,-0.0072,-0.0049,-0.0172,-0.0565,-0.0547,-0.0167,-0.02
07/05/2000,-0.1534,-0.0024,-0.0023,-0.0419,-0.0408,-0.001,-0.0048
08/05/2000,0.0719,0.0007,-0.0292,-0.0504,-0.0504,-0.0279,-0.0211
09/05/2000,0.0756,-0.0029,0.0086,0.0266,0.0266,0.0096,0.0105
10/05/2000,0.0106,0.0005,0.0301,0.0805,0.0801,0.0296,0.0388
11/05/2000,-0.0022,-0.0004,-0.005,-0.0252,-0.025,-0.0028,-0.0078
12/05/2000,4.44E-16,-0.0034,0.0047,0.0142,0.0139,0.0109,0.0024
13/05/2000,0.0014,0.0091,-0.0464,-0.0186,-0.0185,-0.0426,-0.0015
14/05/2000,-0.0015,0.0039,-0.0433,-0.0998,-0.0998,-0.0547,-0.0642
15/05/2000,0.0001,-0.0083,0.0346,0.0022,0.0024,0.0343,-0.0046
16/05/2000,-0.0001,-0.0018,0.0129,0.0455,0.0449,0.0203,0.0205
17/05/2000,0.0001,0.0023,-0.0119,-0.0048,-0.004,-0.0054,0.0124
18/05/2000,-0.0001,0.0033,-0.0242,-0.0198,-0.0198,-0.0331,-0.001
19/05/2000,0.0003,0.0013,0.0026,0.0195,0.0194,0.0047,0.0133
20/05/2000,0.1184,0.0046,-0.0295,-0.0142,-0.0141,-0.04,0.0005
21/05/2000,-0.0465,-0.0008,-0.0527,-0.0675,-0.0674,-0.0528,-0.0343
22/05/2000,-0.0755,-0.002,-0.0053,-0.0347,-0.0347,0.0018,-0.0267
23/05/2000,-0.093,-0.0001,0.0203,-0.0179,-0.0179,0.0169,-0.0123
24/05/2000,0.08,-0.0021,0.0258,0.0663,0.0663,0.0265,0.0437
25/05/2000,0.0463,-0.0055,0.0485,0.0789,0.0789,0.0453,0.0498
26/05/2000,-0.0043,0.0016,-0.056,-0.0654,-0.0654,-0.049,-0.0316
27/05/2000,0.0269,0.0016,-0.0014,-0.0041,-0.0041,-0.0076,-0.0047
28/05/2000,-0.0437,1.42E-14,-0.0469,-0.0504,-0.0504,-0.0473,-0.0331
29/05/2000,-0.0285,-0.003,0.0349,0.0376,0.0374,0.0369,0.0039
30/05/2000,0.0198,-0.0029,0.0689,0.0669,0.0668,0.0676,0.0286
31/05/2000,-0.0001,0.003,-0.0067,-0.0246,-0.0246,-0.0028,-0.0136
01/06/2000,-0.0036,0.0022,0.0008,-0.0182,-0.018,-0.0091,-0.0022
02/06/2000,0.0037,0.0019,-0.0203,-0.0294,-0.0293,-0.0225,-0.0094
03/06/2000,0.0016,-0.0016,-0.0175,-0.0156,-0.0155,-0.0138,-0.0028
04/06/2000,0.0336,0.0003,-0.0194,0.0199,0.0198,-0.0125,0.017
05/06/2000,0.098,0.0005,-0.0495,-0.001,-0.001,-0.0528,0.0015
06/06/2000,-0.3776,0.0032,0.014,-0.0358,-0.0357,0.0164,-0.0337
07/06/2000,0.2442,-0.0006,0.0361,0.0308,0.0306,0.0364,0.0101
08/06/2000,0.0002,0.0021,0.0052,-0.0125,-0.0124,0.0041,-0.0025
09/06/2000,-0.0002,0.0029,-0.0139,-0.035,-0.0351,-0.0126,-0.0157
10/06/2000,-0.008,0.0004,0.0472,0.0756,0.0756,0.046,0.0393
11/06/2000,-0.0766,0.0061,-0.015,-0.0514,-0.0513,-0.0189,-0.0307
12/06/2000,0.0835,-0.0018,0.0382,0.0432,0.0431,0.0387,0.0292
13/06/2000,0.0095,-0.0054,-0.0106,0.0508,0.0508,0.0054,0.0322
