date,PRECTOT,PS,T2M,T2MDEW,T2MWET,TS,QV2M
2000-01-10,5.848000000000001,100.576,11.419,7.734999999999999,7.7540000000000004,11.045,7.328
2000-01-11,5.9590000000000005,100.56500000000001,11.093,7.168000000000001,7.186999999999999,10.623,7.026000000000001
2000-01-12,5.956,100.569,10.726,6.833,6.851999999999999,10.254000000000001,6.823
2000-01-13,5.747999999999999,100.657,10.193999999999999,5.981,6.002,9.708,6.37
2000-01-14,4.1530000000000005,100.858,9.370000000000001,4.997999999999999,5.028,8.89,6.01
2000-01-15,4.157000000000001,100.94800000000001,9.395,5.168,5.194,9.036,6.052
2000-01-16,4.21,100.97200000000001,9.805,6.002000000000001,6.024,9.611,6.355
2000-01-17,4.449,100.937,10.606,7.193,7.212000000000001,10.389,6.861
2000-01-18,4.458,100.899,11.165000000000001,7.986,8.004,10.933000000000002,7.243
2000-01-19,3.029,100.90599999999999,10.543000000000001,7.097999999999999,7.117,10.322,6.758
2000-01-20,0.9289999999999999,100.944,9.843,6.045,6.073,9.638,6.372
2000-01-21,0.796,100.98499999999999,8.663,4.491999999999999,4.545,8.574000000000002,5.9190000000000005
2000-01-22,1.677,100.95,7.780000000000001,3.474,3.53,7.708,5.523999999999999
2000-01-23,2.87,100.834,7.425,3.5740000000000003,3.628,7.367,5.534000000000001
2000-01-24,2.9579999999999997,100.62100000000001,7.3469999999999995,3.772,3.8200000000000003,7.300999999999999,5.59
2000-01-25,2.9539999999999997,100.42699999999999,6.858000000000001,3.138,3.2020000000000004,6.828999999999999,5.458
2000-01-26,2.9240000000000004,100.347,5.719,1.4389999999999998,1.533,5.712000000000001,4.979
2000-01-27,2.7079999999999997,100.362,4.305000000000001,-0.409,-0.30200000000000005,4.362,4.319
2000-01-28,4.154999999999999,100.44500000000001,2.938,-1.825,-1.717,3.01,3.718
2000-01-29,4.804,100.54299999999999,2.2940000000000005,-2.228,-2.12,2.357,3.5409999999999995
2000-01-30,4.868,100.62100000000001,1.8650000000000002,-2.108,-2.009,1.9300000000000002,3.5380000000000003
2000-01-31,4.868,100.634,1.8700000000000003,-1.732,-1.6529999999999998,1.924,3.6089999999999995
2000-02-01,3.97,100.71000000000001,1.6570000000000005,-2.023,-1.9439999999999997,1.6869999999999998,3.501
2000-02-02,2.62,100.84700000000001,0.9040000000000002,-3.2649999999999997,-3.1799999999999997,0.86,3.0599999999999996
2000-02-03,2.532,100.88,1.1450000000000002,-3.1679999999999997,-3.082,0.9730000000000001,3.091
2000-02-04,2.532,100.925,1.7620000000000005,-2.462,-2.391,1.5740000000000003,3.25
2000-02-05,2.508,100.992,2.0700000000000003,-1.8960000000000001,-1.8479999999999996,1.864,3.353
2000-02-06,2.484,101.018,2.3510000000000004,-1.69,-1.6459999999999997,2.0140000000000002,3.396
2000-02-07,0.9259999999999999,101.01500000000001,2.8940000000000006,-1.5379999999999998,-1.4929999999999999,2.41,3.442
2000-02-08,0.087,101.026,3.4750000000000005,-1.4019999999999997,-1.357,2.94,3.4869999999999997
2000-02-09,0.0,101.013,4.15,-1.074,-1.028,3.493,3.588
2000-02-10,0.0,100.92999999999999,5.218000000000001,-0.017999999999999884,0.02400000000000011,4.547,3.929
2000-02-11,0.002,100.83,6.572,1.5150000000000001,1.554,5.917,4.575
2000-02-12,0.053000000000000005,100.72,7.960000000000001,3.2299999999999995,3.2630000000000003,7.308,5.269
2000-02-13,1.018,100.652,9.124,4.901,4.929,8.581,6.042
2000-02-14,1.196,100.59100000000001,10.071000000000002,6.101999999999999,6.1240000000000006,9.516,6.534000000000001
2000-02-15,1.196,100.517,11.087,7.096000000000001,7.1110000000000015,10.532,6.8420000000000005
2000-02-16,1.202,100.447,12.325,8.76,8.766,11.832,7.483
2000-02-17,1.256,100.4,13.35,9.975,9.979,13.001999999999999,8.023
2000-02-18,1.6039999999999999,100.338,14.322,11.233,11.236,14.029,8.693000000000001
2000-02-19,1.8,100.34,14.626000000000001,11.545,11.547,14.459,8.856
2000-02-20,1.8,100.475,14.186000000000002,10.916,10.92,14.047999999999998,8.620000000000001
2000-02-21,1.8,100.624,13.384,9.623,9.631,13.206,8.036000000000001
2000-02-22,1.7849999999999997,100.744,12.789000000000001,8.649000000000001,8.658,12.694999999999999,7.553
2000-02-23,0.8200000000000001,100.874,12.49,7.891,7.900999999999999,12.409,7.103
2000-02-24,0.642,100.978,12.538,7.9510000000000005,7.961,12.466,7.104000000000001
2000-02-25,0.642,100.985,13.056999999999999,8.604,8.614,12.975999999999999,7.412000000000001
2000-02-26,0.852,100.974,13.223000000000003,8.694,8.703999999999999,13.197,7.461999999999999
2000-02-27,3.278,100.969,12.961000000000002,8.367,8.377,12.931999999999999,7.279000000000001
2000-02-28,2.93,101.021,12.151,7.151999999999999,7.164,12.096,6.627
2000-02-29,2.7350000000000003,101.00899999999999,12.201,7.234999999999999,7.2459999999999996,12.142999999999999,6.627000000000001
2000-03-01,2.7350000000000003,100.90599999999999,13.244,8.533,8.541999999999998,13.166999999999998,7.197999999999999
2000-03-02,2.814,100.795,13.753,9.085,9.091,13.706,7.397000000000001
2000-03-03,3.624,100.64,14.218,9.774,9.779,14.173000000000002,7.7620000000000005
2000-03-04,3.6399999999999997,100.519,14.024000000000001,9.711000000000002,9.716000000000001,13.984,7.7299999999999995
2000-03-05,3.6399999999999997,100.44800000000001,13.717000000000002,9.104000000000001,9.11,13.571000000000002,7.444
2000-03-06,3.6399999999999997,100.438,13.741,8.418000000000001,8.426,13.276,7.116999999999999
2000-03-07,3.4239999999999995,100.455,13.751,8.007,8.015,13.157,6.892
2000-03-08,0.9440000000000002,100.437,14.032000000000002,8.218,8.226,13.421000000000001,6.991
2000-03-09,1.3400000000000003,100.366,14.876000000000001,9.428999999999998,9.434999999999999,14.278,7.647
2000-03-10,3.0120000000000005,100.31000000000002,15.584,10.496,10.502,14.983999999999998,8.299
2000-03-11,3.614,100.26700000000001,15.422,10.299,10.304,14.818999999999999,8.248999999999999
2000-03-12,3.533,100.315,14.746,9.519,9.530000000000001,14.177000000000001,7.99
2000-03-13,2.79,100.436,14.126,8.405,8.421000000000001,13.442000000000002,7.492999999999999
2000-03-14,2.7760000000000002,100.525,14.1,8.096,8.111999999999998,13.403,7.367
2000-03-15,2.927,100.54400000000001,14.337,8.633999999999999,8.649000000000001,13.749,7.628
2000-03-16,3.9400000000000004,100.468,14.376000000000001,9.662,9.675,14.105,8.195
2000-03-17,4.0280000000000005,100.44200000000001,14.107000000000003,9.643,9.657,13.975,8.178
2000-03-18,4.537000000000001,100.45400000000001,13.723000000000003,9.277000000000001,9.291,13.619,8.0
2000-03-19,8.893,100.402,13.115,8.849,8.863,13.021,7.730000000000001
2000-03-20,7.321000000000001,100.38799999999999,12.223000000000003,7.747999999999999,7.761999999999999,12.117999999999999,7.058
2000-03-21,6.7360000000000015,100.454,12.022,7.445,7.4590000000000005,11.93,6.840000000000001
